Extracting licenses from Syft...
1to2 | 1.0.0 | MIT
ansi-regex | 6.2.0 | MIT
ansi-styles | 2.2.1 | MIT
ansi-styles | 3.2.1 | MIT
ansi-styles | 4.3.0 | MIT
ansi-styles | 4.3.0 | MIT
ansi-styles | 4.3.0 | MIT
ansi-styles | 6.2.1 | MIT
anymatch | 3.1.3 | ISC
append-field | 1.0.0 | MIT
aproba | 1.2.0 | ISC
archive-type | 4.0.0 | MIT
archiver | 1.3.0 | MIT
archiver-utils | 1.3.0 | MIT
are-we-there-yet | 1.1.7 | ISC
are-we-there-yet | 3.0.1 | ISC
arg | 4.1.3 | MIT
argparse | 1.0.10 | MIT
arr-diff | 4.0.0 | MIT
arr-flatten | 1.1.0 | MIT
arr-union | 3.1.0 | MIT
array-buffer-byte-length | 1.0.2 | MIT
array-each | 1.0.1 | MIT
array-flatten | 1.1.1 | MIT
array-slice | 1.1.0 | MIT
array-unique | 0.3.2 | MIT
asap | 2.0.6 | MIT
assert-never | 1.4.0 | MIT
assign-symbols | 1.0.0 | MIT
async | 2.6.4 | MIT
async | 2.6.4 | MIT
async | 3.2.6 | MIT
at-least-node | 1.0.0 | ISC
atob | 2.1.2 | (MIT OR Apache-2.0)
available-typed-arrays | 1.0.7 | MIT
babel-walk | 3.0.0-canary-5 | MIT
balanced-match | 1.0.2 | MIT
base | 0.11.2 | MIT
base-files | 12.4+deb12u11 | GPL
base64-arraybuffer | 0.1.4 | MIT
base64-js | 0.0.8 | MIT
base64-js | 1.5.1 | MIT
base64id | 2.0.0 | MIT
base64url | 0.0.6 | MIT
basic-auth | 2.0.1 | MIT
batch | 0.6.1 | MIT
big-integer | 1.6.52 | Unlicense
binary | 0.3.0 | MIT
binary-extensions | 2.3.0 | MIT
bindings | 1.5.0 | MIT
bintrees | 1.0.2 | MIT
bl | 1.2.3 | MIT
bl | 4.1.0 | MIT
bluebird | 3.4.7 | MIT
bluebird | 3.7.2 | MIT
body-parser | 1.20.3 | MIT
bower-config | 1.4.3 | MIT
br
